Nome = NACA 63-621
Mach = 0; Re = 19000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.497	0.01063	-0.102	0.432	0.000	1.000	0.800	-46.752	0.314	0.045
-9.0	-0.398	0.00946	-0.108	0.421	0.000	1.000	0.824	-42.105	0.311	-0.021
-8.0	-0.296	0.00852	-0.114	0.412	0.000	1.000	0.849	-34.771	0.305	-0.135
-7.0	-0.190	0.00779	-0.120	0.398	0.001	1.000	0.875	-24.405	0.302	-0.379
-6.0	-0.082	0.00706	-0.125	0.390	0.016	1.000	0.908	-11.679	0.296	-1.268
-5.0	0.033	0.00675	-0.130	0.376	0.019	1.000	0.938	4.898	0.292	4.175
-4.0	0.160	0.00640	-0.135	0.364	0.022	1.000	0.998	24.979	0.279	1.096
-3.0	0.287	0.00612	-0.137	0.346	0.061	1.000	0.998	46.873	0.264	0.728
-2.0	0.413	0.00614	-0.139	0.306	0.106	1.000	0.999	67.396	0.263	0.586
-1.0	0.540	0.00669	-0.140	0.264	0.132	1.000	0.999	80.766	0.263	0.510
-0.0	0.666	0.00686	-0.142	0.228	0.203	1.000	0.999	97.091	0.262	0.463
1.0	0.793	0.00732	-0.144	0.181	0.259	1.000	0.999	108.268	0.262	0.431
2.0	0.916	0.00806	-0.145	0.119	0.308	1.000	0.999	113.600	0.262	0.408
3.0	1.041	0.00862	-0.146	0.094	0.354	1.000	0.999	120.661	0.261	0.391
4.0	1.165	0.00930	-0.148	0.080	0.374	1.000	0.999	125.241	0.261	0.377
5.0	1.288	0.01076	-0.149	0.029	0.387	1.000	0.999	119.781	0.263	0.366
6.0	1.404	0.01142	-0.151	0.022	0.401	0.993	0.999	122.914	0.276	0.357
7.0	1.500	0.01227	-0.155	0.015	0.409	0.966	0.999	122.270	0.291	0.353
8.0	1.592	0.01336	-0.159	0.013	0.422	0.940	0.999	119.166	0.298	0.350
9.0	1.679	0.01478	-0.163	0.009	0.435	0.915	0.999	113.592	0.303	0.347
10.0	1.763	0.01637	-0.168	0.007	0.444	0.893	0.999	107.698	0.308	0.345
11.0	1.841	0.01810	-0.173	0.005	0.459	0.871	0.999	101.746	0.319	0.344
12.0	1.910	0.02031	-0.178	0.003	0.475	0.848	0.999	94.037	0.333	0.343
13.0	1.970	0.02266	-0.183	0.002	0.486	0.827	0.999	86.943	0.347	0.343
14.0	2.023	0.02509	-0.189	0.001	0.503	0.806	0.998	80.619	0.371	0.343
15.0	2.063	0.02792	-0.195	0.001	0.522	0.786	0.998	73.889	0.427	0.344
16.0	2.090	0.03149	-0.201	-0.000	0.540	0.763	0.998	66.367	0.518	0.346
17.0	2.108	0.03458	-0.207	0.000	0.561	0.744	0.998	60.970	1.297	0.348
18.0	2.102	0.03950	-0.214	-0.001	0.581	0.717	0.998	53.230	-0.355	0.352
19.0	2.085	0.04466	-0.221	-0.001	0.603	0.691	0.998	46.676	-0.131	0.356
20.0	2.070	0.04734	-0.226	-0.000	0.628	0.679	0.998	43.732	0.028	0.359
21.0	2.028	0.05332	-0.233	-0.001	0.649	0.651	0.998	38.025	0.094	0.365
22.0	1.970	0.06118	-0.242	-0.001	0.676	0.618	0.998	32.196	0.117	0.373
23.0	1.905	0.06907	-0.250	-0.001	0.699	0.586	0.998	27.581	0.138	0.381
24.0	1.861	0.07097	-0.254	-0.001	0.720	0.582	0.997	26.226	0.150	0.386
25.0	1.785	0.07983	-0.262	-0.001	0.745	0.550	0.997	22.357	0.150	0.397
26.0	1.702	0.09008	-0.270	-0.001	0.777	0.513	0.997	18.892	0.154	0.409
27.0	1.616	0.10204	-0.278	-0.001	0.808	0.474	0.997	15.834	0.160	0.422
28.0	1.531	0.11447	-0.285	-0.001	0.851	0.437	0.997	13.379	0.165	0.436
29.0	1.447	0.12817	-0.292	-0.001	0.990	0.396	0.996	11.289	0.171	0.452
30.0	1.370	0.13979	-0.298	-0.001	0.993	0.365	0.995	9.804	0.175	0.467

