Nome = NACA 63-515
Mach = 0; Re = 8000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.623	0.00952	-0.093	0.533	0.011	1.000	0.888	-65.453	0.325	0.100
-9.0	-0.532	0.00862	-0.100	0.514	0.012	1.000	0.927	-61.726	0.334	0.062
-8.0	-0.431	0.00803	-0.109	0.496	0.014	1.000	0.997	-53.727	0.299	-0.004
-7.0	-0.313	0.00750	-0.111	0.481	0.015	1.000	0.997	-41.736	0.262	-0.104
-6.0	-0.193	0.00723	-0.112	0.462	0.015	1.000	0.997	-26.695	0.262	-0.332
-5.0	-0.072	0.00690	-0.114	0.444	0.016	1.000	0.997	-10.438	0.262	-1.330
-4.0	0.050	0.00664	-0.115	0.433	0.024	1.000	0.997	7.467	0.261	2.572
-3.0	0.172	0.00655	-0.117	0.408	0.041	1.000	0.998	26.197	0.261	0.930
-2.0	0.294	0.00653	-0.118	0.384	0.048	1.000	0.998	44.948	0.261	0.652
-1.0	0.415	0.00663	-0.119	0.321	0.124	1.000	0.998	62.673	0.261	0.537
-0.0	0.537	0.00680	-0.120	0.264	0.196	1.000	0.998	78.930	0.260	0.474
1.0	0.659	0.00739	-0.122	0.157	0.312	1.000	0.998	89.106	0.260	0.435
2.0	0.779	0.00785	-0.123	0.109	0.388	1.000	0.998	99.240	0.260	0.408
3.0	0.899	0.00866	-0.124	0.048	0.421	1.000	0.998	103.810	0.259	0.388
4.0	1.018	0.00935	-0.125	0.029	0.437	1.000	0.998	108.893	0.259	0.373
5.0	1.135	0.01003	-0.126	0.020	0.457	1.000	0.998	113.221	0.259	0.361
6.0	1.250	0.01087	-0.127	0.014	0.472	1.000	0.997	115.031	0.259	0.352
7.0	1.361	0.01127	-0.128	0.009	0.494	1.000	0.998	120.758	0.263	0.344
8.0	1.460	0.01233	-0.130	0.006	0.511	0.992	0.997	118.398	0.271	0.339
9.0	1.549	0.01374	-0.132	0.007	0.530	0.982	0.998	112.730	0.296	0.335
10.0	1.612	0.01537	-0.137	0.003	0.549	0.951	0.997	104.873	0.340	0.335
11.0	1.662	0.01706	-0.142	0.002	0.576	0.921	0.997	97.422	0.379	0.336
12.0	1.698	0.01903	-0.148	0.002	0.594	0.891	0.997	89.250	0.496	0.337
13.0	1.712	0.02145	-0.154	0.002	0.619	0.859	0.997	79.830	23.086	0.340
14.0	1.699	0.02529	-0.163	0.001	0.651	0.814	0.997	67.177	-0.276	0.346
15.0	1.683	0.02817	-0.170	0.001	0.673	0.785	0.997	59.758	0.006	0.351
16.0	1.625	0.03442	-0.181	0.000	0.702	0.725	0.996	47.207	0.070	0.361
17.0	1.578	0.03839	-0.189	0.001	0.728	0.693	0.996	41.110	0.101	0.370
18.0	1.486	0.04793	-0.202	0.000	0.757	0.615	0.996	30.992	0.117	0.386
19.0	1.347	0.06619	-0.219	-0.000	0.788	0.471	0.996	20.349	0.144	0.413
20.0	1.198	0.09481	-0.232	-0.000	0.821	0.254	0.996	12.634	0.170	0.444
21.0	1.130	0.10635	-0.237	-0.000	0.868	0.194	0.996	10.630	0.178	0.459
22.0	1.075	0.11264	-0.241	0.000	0.907	0.186	0.996	9.543	0.194	0.474
23.0	1.007	0.12707	-0.244	0.000	0.977	0.124	0.992	7.925	0.222	0.492
24.0	0.945	0.14551	-0.245	-0.000	0.986	0.072	0.992	6.497	0.214	0.509
25.0	0.889	0.16001	-0.248	-0.000	0.987	0.056	0.992	5.554	0.181	0.529
26.0	0.834	0.16670	-0.253	-0.000	0.988	0.063	0.991	5.003	0.181	0.553
27.0	0.781	0.18724	-0.255	-0.000	0.988	0.047	0.991	4.171	0.189	0.577
28.0	0.731	0.20085	-0.259	-0.000	0.987	0.044	0.991	3.639	0.177	0.604
29.0	0.683	0.20847	-0.262	-0.000	0.987	0.041	0.991	3.278	0.169	0.634
30.0	0.639	0.22164	-0.266	-0.000	0.987	0.044	0.991	2.883	0.161	0.667

