Nome = NACA 63-621
Mach = 0; Re = 12500000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.482	0.01162	-0.100	0.454	0.000	1.000	0.781	-41.463	0.316	0.043
-9.0	-0.385	0.01031	-0.106	0.443	0.000	1.000	0.805	-37.344	0.312	-0.026
-8.0	-0.283	0.00926	-0.112	0.431	0.000	1.000	0.828	-30.597	0.306	-0.146
-7.0	-0.179	0.00840	-0.118	0.420	0.001	1.000	0.854	-21.308	0.304	-0.409
-6.0	-0.074	0.00756	-0.124	0.408	0.017	1.000	0.885	-9.726	0.299	-1.431
-5.0	0.033	0.00712	-0.128	0.399	0.021	1.000	0.912	4.680	0.291	4.100
-4.0	0.160	0.00668	-0.133	0.387	0.051	1.000	0.955	23.963	0.285	1.082
-3.0	0.287	0.00619	-0.137	0.373	0.101	1.000	0.998	46.330	0.272	0.728
-2.0	0.413	0.00637	-0.139	0.356	0.122	1.000	0.999	64.885	0.263	0.586
-1.0	0.540	0.00661	-0.140	0.312	0.167	1.000	0.999	81.711	0.263	0.510
-0.0	0.666	0.00675	-0.142	0.271	0.254	1.000	0.999	98.674	0.262	0.463
1.0	0.793	0.00718	-0.144	0.233	0.302	1.000	0.999	110.365	0.262	0.431
2.0	0.916	0.00806	-0.145	0.161	0.357	1.000	0.999	113.673	0.262	0.408
3.0	1.041	0.00900	-0.146	0.112	0.382	1.000	0.999	115.563	0.261	0.391
4.0	1.165	0.00975	-0.148	0.094	0.395	1.000	0.999	119.504	0.262	0.377
5.0	1.285	0.01112	-0.149	0.046	0.408	0.996	0.999	115.569	0.271	0.366
6.0	1.386	0.01199	-0.152	0.028	0.418	0.972	0.999	115.654	0.287	0.360
7.0	1.480	0.01315	-0.157	0.020	0.430	0.944	0.999	112.526	0.295	0.356
8.0	1.571	0.01451	-0.161	0.014	0.443	0.918	0.999	108.273	0.298	0.352
9.0	1.660	0.01597	-0.165	0.012	0.453	0.895	0.999	103.912	0.303	0.350
10.0	1.744	0.01767	-0.170	0.009	0.467	0.874	0.999	98.690	0.312	0.347
11.0	1.819	0.01981	-0.175	0.005	0.482	0.850	0.999	91.824	0.320	0.346
12.0	1.890	0.02189	-0.180	0.005	0.495	0.830	0.999	86.315	0.331	0.345
13.0	1.949	0.02455	-0.186	0.003	0.512	0.808	0.999	79.412	0.348	0.345
14.0	2.002	0.02711	-0.191	0.003	0.529	0.789	0.998	73.865	0.367	0.345
15.0	2.044	0.03007	-0.197	0.002	0.547	0.769	0.998	67.978	0.425	0.346
16.0	2.071	0.03385	-0.203	0.001	0.568	0.746	0.998	61.162	0.562	0.348
17.0	2.085	0.03783	-0.209	0.000	0.590	0.724	0.998	55.105	0.904	0.350
18.0	2.089	0.04149	-0.215	0.000	0.609	0.706	0.998	50.362	-0.903	0.353
19.0	2.074	0.04654	-0.222	-0.000	0.633	0.682	0.998	44.559	-0.048	0.357
20.0	2.041	0.05298	-0.230	-0.001	0.657	0.652	0.998	38.522	0.052	0.363
21.0	1.996	0.06021	-0.238	-0.001	0.687	0.622	0.998	33.150	0.085	0.369
22.0	1.964	0.06275	-0.242	-0.000	0.707	0.613	0.998	31.300	0.116	0.373
23.0	1.897	0.07186	-0.251	-0.001	0.729	0.578	0.998	26.403	0.132	0.382
24.0	1.818	0.08277	-0.260	-0.001	0.753	0.536	0.997	21.969	0.143	0.393
25.0	1.746	0.09188	-0.267	-0.001	0.783	0.505	0.997	19.004	0.153	0.403
26.0	1.670	0.10171	-0.274	-0.001	0.819	0.474	0.997	16.418	0.167	0.414
27.0	1.618	0.10319	-0.278	-0.001	0.864	0.477	0.997	15.677	0.171	0.422
28.0	1.536	0.11434	-0.285	-0.001	0.990	0.443	0.996	13.432	0.166	0.435
29.0	1.454	0.12688	-0.291	-0.001	0.990	0.408	0.996	11.463	0.169	0.450
30.0	1.359	0.14792	-0.299	-0.001	0.990	0.344	0.996	9.186	0.169	0.470

