Nome = NACA 63-613
Mach = 0; Re = 20000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 0; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.498	0.00827	-0.117	0.478	0.000	1.000	0.917	-60.193	0.289	0.014
-9.0	-0.416	0.00688	-0.121	0.463	0.000	1.000	0.998	-60.412	0.274	-0.040
-8.0	-0.312	0.00660	-0.122	0.441	0.001	1.000	0.998	-47.288	0.261	-0.140
-7.0	-0.200	0.00628	-0.123	0.428	0.007	1.000	0.999	-31.879	0.260	-0.364
-6.0	-0.084	0.00630	-0.124	0.408	0.007	1.000	0.999	-13.313	0.259	-1.228
-5.0	0.035	0.00636	-0.125	0.389	0.008	1.000	0.998	5.488	0.259	3.836
-4.0	0.155	0.00617	-0.126	0.360	0.018	1.000	0.998	25.138	0.259	1.063
-3.0	0.276	0.00650	-0.127	0.295	0.020	1.000	0.998	42.463	0.258	0.711
-2.0	0.397	0.00663	-0.128	0.249	0.025	1.000	0.997	59.886	0.258	0.573
-1.0	0.518	0.00710	-0.129	0.191	0.042	1.000	0.997	72.962	0.258	0.500
-0.0	0.638	0.00749	-0.130	0.128	0.104	1.000	0.997	85.171	0.258	0.454
1.0	0.758	0.00805	-0.131	0.089	0.162	1.000	0.997	94.251	0.257	0.423
2.0	0.874	0.00802	-0.132	0.033	0.255	0.997	0.997	108.986	0.257	0.401
3.0	0.991	0.00843	-0.133	0.020	0.312	0.997	0.997	117.642	0.257	0.384
4.0	1.104	0.00892	-0.133	0.013	0.381	0.996	0.997	123.880	0.257	0.371
5.0	1.213	0.00955	-0.134	0.009	0.406	0.996	0.996	126.977	0.257	0.361
6.0	1.313	0.01036	-0.135	0.006	0.428	0.996	0.996	126.723	0.257	0.353
7.0	1.403	0.01045	-0.135	0.004	0.445	0.995	0.996	134.311	0.258	0.347
8.0	1.477	0.01129	-0.136	0.003	0.464	0.994	0.996	130.900	0.259	0.342
9.0	1.535	0.01227	-0.137	0.003	0.484	0.992	0.996	125.045	0.261	0.339
10.0	1.566	0.01292	-0.137	0.001	0.505	0.989	0.996	121.208	0.268	0.338
11.0	1.572	0.01489	-0.137	0.001	0.524	0.981	0.996	105.599	0.243	0.337
12.0	1.551	0.01647	-0.137	0.000	0.547	0.960	0.996	94.135	0.263	0.338
13.0	1.494	0.01895	-0.136	-0.000	0.570	0.918	0.996	78.857	0.262	0.341
14.0	1.422	0.02121	-0.136	-0.000	0.596	0.882	0.996	67.022	0.265	0.345
15.0	1.328	0.02562	-0.134	-0.001	0.626	0.820	0.996	51.838	0.268	0.351
16.0	1.228	0.03117	-0.132	-0.001	0.652	0.758	0.995	39.389	0.273	0.358
17.0	1.120	0.04010	-0.129	-0.001	0.683	0.674	0.995	27.924	0.290	0.365
18.0	0.999	0.06032	-0.123	-0.001	0.713	0.521	0.995	16.555	0.330	0.373
19.0	0.869	0.10322	-0.109	-0.001	0.741	0.287	0.995	8.417	0.359	0.376
20.0	0.773	0.13781	-0.098	-0.001	0.767	0.170	0.995	5.606	0.330	0.377
21.0	0.697	0.15513	-0.095	-0.000	0.803	0.146	0.995	4.492	0.355	0.387
22.0	0.619	0.19506	-0.082	-0.001	0.838	0.070	0.994	3.175	0.347	0.383
23.0	0.560	0.21069	-0.082	-0.001	0.885	0.069	0.994	2.660	0.223	0.397
24.0	0.509	0.21792	-0.085	-0.000	0.967	0.084	0.993	2.337	0.255	0.417
25.0	0.460	0.24213	-0.082	-0.001	0.984	0.068	0.990	1.900	0.324	0.427
26.0	0.417	0.27004	-0.078	-0.001	0.983	0.056	0.990	1.542	0.310	0.438
27.0	0.378	0.29417	-0.077	-0.001	0.984	0.051	0.989	1.286	0.280	0.452
28.0	0.345	0.31278	-0.076	-0.001	0.983	0.050	0.990	1.103	0.262	0.471
29.0	0.315	0.33543	-0.076	-0.001	0.983	0.050	0.989	0.940	0.276	0.491
30.0	0.289	0.35867	-0.075	-0.001	0.983	0.047	0.989	0.805	0.293	0.509

