Nome = NACA 63-515
Mach = 0; Re = 11000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.631	0.00906	-0.095	0.509	0.009	1.000	0.904	-69.574	0.326	0.099
-9.0	-0.538	0.00826	-0.102	0.489	0.011	1.000	0.946	-65.172	0.322	0.060
-8.0	-0.431	0.00763	-0.109	0.481	0.013	1.000	0.997	-56.525	0.289	-0.004
-7.0	-0.313	0.00724	-0.111	0.461	0.013	1.000	0.997	-43.238	0.262	-0.104
-6.0	-0.193	0.00698	-0.112	0.444	0.012	1.000	0.997	-27.632	0.262	-0.332
-5.0	-0.072	0.00664	-0.114	0.424	0.020	1.000	0.997	-10.838	0.262	-1.330
-4.0	0.050	0.00642	-0.115	0.410	0.025	1.000	0.998	7.722	0.261	2.572
-3.0	0.172	0.00637	-0.117	0.388	0.031	1.000	0.998	26.934	0.261	0.930
-2.0	0.294	0.00650	-0.118	0.338	0.041	1.000	0.998	45.196	0.261	0.652
-1.0	0.415	0.00659	-0.119	0.278	0.107	1.000	0.998	63.011	0.261	0.537
-0.0	0.537	0.00695	-0.120	0.208	0.156	1.000	0.998	77.315	0.260	0.474
1.0	0.659	0.00734	-0.122	0.129	0.270	1.000	0.998	89.765	0.260	0.435
2.0	0.779	0.00771	-0.123	0.094	0.333	1.000	0.998	100.943	0.260	0.408
3.0	0.899	0.00837	-0.124	0.040	0.401	1.000	0.998	107.436	0.259	0.388
4.0	1.018	0.00903	-0.125	0.020	0.420	1.000	0.998	112.750	0.259	0.373
5.0	1.135	0.00956	-0.126	0.020	0.436	1.000	0.998	118.799	0.259	0.361
6.0	1.250	0.01041	-0.127	0.010	0.456	1.000	0.997	120.057	0.259	0.352
7.0	1.361	0.01135	-0.128	0.006	0.473	1.000	0.998	119.869	0.262	0.344
8.0	1.461	0.01153	-0.130	0.008	0.496	0.993	0.997	126.752	0.267	0.339
9.0	1.554	0.01213	-0.131	0.005	0.509	0.988	0.998	128.153	0.280	0.334
10.0	1.627	0.01438	-0.135	0.004	0.525	0.969	0.997	113.147	0.327	0.333
11.0	1.674	0.01633	-0.140	0.001	0.545	0.934	0.997	102.534	0.378	0.334
12.0	1.713	0.01778	-0.146	0.002	0.568	0.908	0.997	96.340	0.476	0.335
13.0	1.726	0.02016	-0.152	0.002	0.594	0.874	0.997	85.616	3.397	0.338
14.0	1.718	0.02331	-0.160	0.001	0.620	0.835	0.997	73.689	-0.199	0.343
15.0	1.690	0.02719	-0.169	0.000	0.642	0.792	0.997	62.149	-0.006	0.350
16.0	1.653	0.03072	-0.177	0.001	0.673	0.757	0.997	53.822	0.072	0.357
17.0	1.578	0.03790	-0.189	0.000	0.701	0.692	0.996	41.625	0.100	0.370
18.0	1.473	0.04869	-0.204	-0.000	0.732	0.599	0.996	30.262	0.117	0.388
19.0	1.347	0.06503	-0.219	-0.000	0.755	0.472	0.996	20.719	0.137	0.413
20.0	1.232	0.08388	-0.231	-0.000	0.781	0.340	0.996	14.682	0.162	0.438
21.0	1.144	0.09949	-0.237	-0.000	0.818	0.242	0.996	11.502	0.180	0.457
22.0	1.080	0.10881	-0.242	-0.000	0.854	0.206	0.996	9.927	0.212	0.474
23.0	1.005	0.12958	-0.243	-0.000	0.908	0.105	0.995	7.752	0.225	0.491
24.0	0.945	0.14401	-0.245	-0.000	0.978	0.074	0.993	6.565	0.199	0.509
25.0	0.889	0.15573	-0.249	-0.000	0.986	0.064	0.992	5.707	0.180	0.530
26.0	0.834	0.16261	-0.253	-0.000	0.987	0.065	0.991	5.130	0.182	0.553
27.0	0.781	0.17818	-0.256	-0.000	0.986	0.054	0.991	4.384	0.186	0.577
28.0	0.731	0.18832	-0.259	-0.000	0.987	0.050	0.992	3.881	0.178	0.605
29.0	0.683	0.20422	-0.263	-0.000	0.987	0.047	0.991	3.347	0.173	0.635
30.0	0.639	0.21580	-0.266	-0.000	0.987	0.045	0.991	2.961	0.170	0.667

