Nome = NACA 63-615
Mach = 0; Re = 11000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.512	0.00925	-0.115	0.508	0.000	1.000	0.862	-55.281	0.341	0.026
-9.0	-0.426	0.00826	-0.123	0.492	0.000	1.000	0.909	-51.589	0.328	-0.038
-8.0	-0.325	0.00765	-0.129	0.476	0.000	1.000	0.954	-42.510	0.308	-0.148
-7.0	-0.207	0.00679	-0.135	0.458	0.009	1.000	0.998	-30.465	0.281	-0.403
-6.0	-0.086	0.00668	-0.137	0.441	0.009	1.000	0.998	-12.939	0.261	-1.330
-5.0	0.035	0.00649	-0.138	0.426	0.019	1.000	0.998	5.373	0.261	4.209
-4.0	0.157	0.00654	-0.139	0.408	0.024	1.000	0.998	23.943	0.261	1.139
-3.0	0.279	0.00645	-0.141	0.388	0.031	1.000	0.998	43.195	0.261	0.755
-2.0	0.401	0.00672	-0.142	0.336	0.041	1.000	0.998	59.647	0.260	0.604
-1.0	0.523	0.00689	-0.143	0.286	0.109	1.000	0.998	75.851	0.260	0.524
-0.0	0.644	0.00740	-0.144	0.219	0.156	1.000	0.998	86.998	0.260	0.474
1.0	0.766	0.00802	-0.145	0.137	0.272	1.000	0.998	95.397	0.259	0.440
2.0	0.885	0.00817	-0.147	0.098	0.331	1.000	0.997	108.240	0.259	0.416
3.0	1.002	0.00906	-0.148	0.037	0.400	0.997	0.997	110.593	0.259	0.397
4.0	1.120	0.00973	-0.149	0.023	0.422	0.996	0.997	115.142	0.259	0.383
5.0	1.236	0.01044	-0.150	0.017	0.440	0.996	0.997	118.382	0.259	0.371
6.0	1.349	0.01128	-0.151	0.013	0.457	0.995	0.997	119.599	0.259	0.362
7.0	1.458	0.01169	-0.152	0.009	0.474	0.995	0.997	124.733	0.260	0.354
8.0	1.559	0.01278	-0.153	0.006	0.494	0.992	0.996	121.932	0.264	0.348
9.0	1.649	0.01291	-0.154	0.004	0.512	0.986	0.996	127.747	0.277	0.344
10.0	1.720	0.01513	-0.157	0.004	0.528	0.970	0.996	113.676	0.316	0.341
11.0	1.767	0.01689	-0.162	0.002	0.548	0.941	0.996	104.592	0.376	0.342
12.0	1.800	0.01860	-0.167	0.002	0.575	0.914	0.996	96.768	0.502	0.343
13.0	1.813	0.02109	-0.174	0.001	0.597	0.881	0.996	85.933	10.252	0.346
14.0	1.802	0.02438	-0.181	0.000	0.620	0.842	0.996	73.912	-0.105	0.351
15.0	1.768	0.02818	-0.189	-0.000	0.650	0.802	0.996	62.742	0.056	0.357
16.0	1.715	0.03263	-0.198	-0.000	0.678	0.760	0.996	52.540	0.103	0.366
17.0	1.641	0.03835	-0.208	-0.000	0.705	0.710	0.996	42.787	0.118	0.377
18.0	1.513	0.05108	-0.225	-0.001	0.731	0.602	0.996	29.621	0.131	0.399
19.0	1.439	0.05641	-0.232	-0.000	0.760	0.570	0.996	25.511	0.145	0.411
20.0	1.259	0.08524	-0.252	-0.001	0.789	0.356	0.996	14.765	0.169	0.450
21.0	1.136	0.11341	-0.257	-0.001	0.822	0.159	0.995	10.019	0.210	0.476
22.0	1.067	0.12621	-0.259	-0.001	0.866	0.112	0.996	8.456	0.186	0.493
23.0	1.008	0.12720	-0.265	-0.000	0.917	0.140	0.995	7.921	0.195	0.513
24.0	0.938	0.14412	-0.266	-0.001	0.978	0.088	0.993	6.512	0.218	0.534
25.0	0.876	0.15772	-0.269	-0.001	0.986	0.070	0.992	5.553	0.206	0.557
26.0	0.816	0.17436	-0.272	-0.001	0.987	0.053	0.990	4.681	0.201	0.583
27.0	0.760	0.18981	-0.275	-0.001	0.987	0.046	0.991	4.002	0.190	0.612
28.0	0.706	0.20073	-0.278	-0.001	0.986	0.042	0.990	3.519	0.181	0.644
29.0	0.657	0.21008	-0.282	-0.001	0.987	0.044	0.990	3.126	0.178	0.679
30.0	0.610	0.22827	-0.285	-0.001	0.986	0.041	0.989	2.674	0.181	0.717

