Nome = NACA 63-615
Mach = 0; Re = 6500000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.495	0.01030	-0.112	0.548	0.000	1.000	0.831	-47.995	0.348	0.025
-9.0	-0.413	0.00905	-0.119	0.530	0.000	1.000	0.879	-45.667	0.332	-0.039
-8.0	-0.317	0.00827	-0.126	0.511	0.000	1.000	0.920	-38.302	0.326	-0.148
-7.0	-0.207	0.00724	-0.135	0.496	0.011	1.000	0.998	-28.575	0.296	-0.403
-6.0	-0.086	0.00704	-0.137	0.478	0.013	1.000	0.998	-12.293	0.261	-1.329
-5.0	0.035	0.00691	-0.138	0.461	0.022	1.000	0.998	5.041	0.261	4.209
-4.0	0.157	0.00679	-0.139	0.444	0.030	1.000	0.998	23.075	0.261	1.139
-3.0	0.279	0.00672	-0.141	0.427	0.037	1.000	0.998	41.443	0.260	0.755
-2.0	0.401	0.00675	-0.142	0.408	0.056	1.000	0.998	59.381	0.260	0.604
-1.0	0.523	0.00692	-0.143	0.349	0.139	1.000	0.998	75.557	0.260	0.524
-0.0	0.644	0.00729	-0.144	0.290	0.221	1.000	0.997	88.422	0.260	0.474
1.0	0.766	0.00807	-0.145	0.193	0.337	1.000	0.997	94.858	0.259	0.440
2.0	0.883	0.00849	-0.147	0.123	0.407	0.998	0.997	103.982	0.259	0.416
3.0	1.002	0.00959	-0.148	0.053	0.437	0.997	0.997	104.518	0.259	0.397
4.0	1.120	0.01032	-0.149	0.035	0.455	0.996	0.997	108.480	0.259	0.383
5.0	1.236	0.01124	-0.150	0.024	0.473	0.996	0.997	109.967	0.259	0.371
6.0	1.348	0.01167	-0.151	0.014	0.492	0.995	0.997	115.509	0.259	0.362
7.0	1.456	0.01267	-0.152	0.012	0.511	0.993	0.996	114.890	0.262	0.354
8.0	1.555	0.01326	-0.153	0.009	0.531	0.988	0.996	117.318	0.272	0.348
9.0	1.637	0.01512	-0.156	0.006	0.549	0.973	0.996	108.270	0.297	0.345
10.0	1.700	0.01659	-0.160	0.005	0.569	0.948	0.996	102.503	0.337	0.344
11.0	1.745	0.01851	-0.165	0.003	0.595	0.917	0.996	94.244	0.396	0.345
12.0	1.775	0.02078	-0.171	0.002	0.615	0.887	0.996	85.413	0.542	0.346
13.0	1.787	0.02358	-0.177	0.002	0.640	0.854	0.996	75.763	2.834	0.349
14.0	1.780	0.02676	-0.184	0.001	0.668	0.819	0.996	66.530	-0.157	0.354
15.0	1.751	0.03056	-0.192	0.001	0.696	0.783	0.996	57.284	0.056	0.360
16.0	1.690	0.03633	-0.202	0.000	0.728	0.732	0.996	46.529	0.102	0.369
17.0	1.615	0.04281	-0.212	0.000	0.754	0.679	0.996	37.736	0.123	0.381
18.0	1.526	0.05080	-0.223	0.000	0.785	0.619	0.996	30.031	0.131	0.396
19.0	1.377	0.06972	-0.241	-0.000	0.814	0.474	0.996	19.746	0.141	0.425
20.0	1.285	0.08048	-0.249	-0.000	0.850	0.412	0.995	15.970	0.176	0.444
21.0	1.145	0.10976	-0.258	-0.000	0.899	0.202	0.995	10.436	0.210	0.475
22.0	1.066	0.13136	-0.258	-0.001	0.971	0.089	0.994	8.112	0.233	0.492
23.0	1.001	0.14664	-0.260	-0.001	0.983	0.061	0.992	6.828	0.205	0.510
24.0	0.938	0.15802	-0.264	-0.001	0.987	0.052	0.991	5.935	0.196	0.531
25.0	0.876	0.17362	-0.267	-0.001	0.987	0.044	0.991	5.046	0.184	0.555
26.0	0.816	0.17576	-0.272	-0.001	0.987	0.053	0.990	4.643	0.183	0.583
27.0	0.760	0.19168	-0.275	-0.001	0.987	0.044	0.990	3.963	0.191	0.612
28.0	0.706	0.20340	-0.278	-0.001	0.987	0.042	0.990	3.473	0.187	0.644
29.0	0.657	0.22319	-0.281	-0.001	0.987	0.036	0.989	2.943	0.180	0.678
30.0	0.611	0.23428	-0.285	-0.001	0.986	0.038	0.989	2.606	0.170	0.716

