Nome = NACA 63-613
Mach = 0; Re = 4000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 0; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.486	0.01219	-0.114	0.613	0.000	1.000	0.799	-39.870	0.291	0.015
-9.0	-0.405	0.00986	-0.117	0.587	0.000	1.000	0.877	-41.121	0.283	-0.040
-8.0	-0.308	0.00872	-0.120	0.567	0.001	1.000	0.931	-35.332	0.276	-0.140
-7.0	-0.200	0.00779	-0.123	0.546	0.011	1.000	0.998	-25.695	0.268	-0.364
-6.0	-0.084	0.00753	-0.124	0.529	0.013	1.000	0.997	-11.135	0.259	-1.228
-5.0	0.035	0.00725	-0.125	0.506	0.017	1.000	0.997	4.815	0.259	3.836
-4.0	0.155	0.00710	-0.126	0.489	0.023	1.000	0.997	21.852	0.259	1.063
-3.0	0.276	0.00702	-0.127	0.468	0.041	1.000	0.997	39.285	0.258	0.711
-2.0	0.397	0.00702	-0.128	0.449	0.062	1.000	0.997	56.556	0.258	0.573
-1.0	0.518	0.00700	-0.129	0.414	0.158	1.000	0.997	73.980	0.258	0.500
-0.0	0.638	0.00731	-0.130	0.344	0.299	1.000	0.997	87.305	0.257	0.454
1.0	0.758	0.00779	-0.131	0.232	0.391	0.997	0.997	97.302	0.257	0.423
2.0	0.874	0.00875	-0.132	0.144	0.455	0.997	0.996	99.815	0.257	0.401
3.0	0.991	0.01006	-0.133	0.055	0.480	0.996	0.997	98.558	0.257	0.384
4.0	1.104	0.01092	-0.133	0.035	0.502	0.996	0.996	101.092	0.257	0.371
5.0	1.213	0.01120	-0.134	0.024	0.522	0.995	0.996	108.263	0.257	0.361
6.0	1.313	0.01218	-0.135	0.014	0.546	0.994	0.996	107.816	0.257	0.353
7.0	1.402	0.01332	-0.135	0.010	0.565	0.992	0.996	105.242	0.257	0.347
8.0	1.475	0.01335	-0.136	0.006	0.587	0.987	0.996	110.496	0.256	0.342
9.0	1.529	0.01599	-0.136	0.005	0.612	0.975	0.996	95.674	0.251	0.339
10.0	1.553	0.01764	-0.136	0.003	0.639	0.950	0.996	88.082	0.221	0.337
11.0	1.552	0.01961	-0.135	0.002	0.663	0.917	0.996	79.182	0.292	0.337
12.0	1.526	0.02225	-0.135	0.001	0.693	0.879	0.995	68.580	0.269	0.338
13.0	1.471	0.02537	-0.134	0.001	0.721	0.840	0.996	57.964	0.265	0.341
14.0	1.396	0.02924	-0.133	0.001	0.754	0.796	0.995	47.749	0.269	0.345
15.0	1.302	0.03592	-0.131	0.000	0.786	0.726	0.995	36.259	0.275	0.350
16.0	1.199	0.04505	-0.128	0.000	0.819	0.645	0.995	26.607	0.304	0.357
17.0	1.059	0.07430	-0.118	-0.000	0.852	0.421	0.995	14.253	0.388	0.361
18.0	0.904	0.13857	-0.087	-0.000	0.899	0.095	0.994	6.527	0.394	0.347
19.0	0.826	0.15448	-0.084	-0.000	0.961	0.078	0.993	5.350	0.309	0.352
20.0	0.751	0.17670	-0.078	-0.000	0.979	0.055	0.992	4.251	0.328	0.354
21.0	0.679	0.20103	-0.073	-0.001	0.983	0.037	0.989	3.376	0.309	0.357
22.0	0.613	0.22372	-0.070	-0.001	0.984	0.032	0.989	2.742	0.264	0.364
23.0	0.555	0.23953	-0.071	-0.000	0.984	0.033	0.989	2.319	0.253	0.378
24.0	0.503	0.26169	-0.070	-0.000	0.984	0.031	0.989	1.921	0.264	0.389
25.0	0.456	0.28279	-0.069	-0.000	0.984	0.031	0.988	1.612	0.259	0.402
26.0	0.414	0.30513	-0.069	-0.000	0.984	0.030	0.988	1.356	0.262	0.417
27.0	0.376	0.33052	-0.068	-0.001	0.984	0.029	0.988	1.139	0.272	0.432
28.0	0.343	0.36390	-0.068	-0.001	0.984	0.027	0.988	0.943	0.258	0.447
29.0	0.314	0.38094	-0.068	-0.001	0.984	0.029	0.987	0.823	0.253	0.467
30.0	0.287	0.40990	-0.067	-0.001	0.983	0.028	0.988	0.701	0.271	0.485

