Nome = NACA 63-518
Mach = 0; Re = 19000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.633	0.00923	-0.089	0.453	0.010	1.000	0.873	-68.534	0.319	0.110
-9.0	-0.537	0.00826	-0.095	0.436	0.014	1.000	0.907	-65.049	0.309	0.073
-8.0	-0.432	0.00780	-0.101	0.423	0.010	1.000	0.933	-55.336	0.312	0.017
-7.0	-0.321	0.00727	-0.109	0.409	0.012	1.000	0.998	-44.227	0.292	-0.088
-6.0	-0.198	0.00685	-0.110	0.395	0.020	1.000	0.998	-28.978	0.263	-0.306
-5.0	-0.075	0.00661	-0.112	0.382	0.017	1.000	0.998	-11.291	0.263	-1.251
-4.0	0.050	0.00643	-0.114	0.367	0.024	1.000	0.998	7.697	0.263	2.544
-3.0	0.174	0.00631	-0.115	0.342	0.037	1.000	0.997	27.555	0.263	0.912
-2.0	0.298	0.00651	-0.117	0.283	0.056	1.000	0.998	45.860	0.262	0.641
-1.0	0.423	0.00655	-0.118	0.243	0.104	1.000	0.998	64.551	0.262	0.530
-0.0	0.547	0.00678	-0.120	0.195	0.154	1.000	0.998	80.614	0.262	0.469
1.0	0.671	0.00723	-0.121	0.125	0.235	1.000	0.998	92.771	0.261	0.431
2.0	0.793	0.00755	-0.122	0.096	0.283	1.000	0.998	104.965	0.261	0.405
3.0	0.915	0.00786	-0.124	0.078	0.352	1.000	0.998	116.529	0.261	0.385
4.0	1.038	0.00875	-0.125	0.028	0.378	1.000	0.998	118.643	0.260	0.371
5.0	1.159	0.00936	-0.126	0.018	0.394	1.000	0.998	123.773	0.260	0.359
6.0	1.278	0.01013	-0.127	0.011	0.407	1.000	0.998	126.135	0.260	0.350
7.0	1.394	0.01090	-0.129	0.011	0.421	1.000	0.998	127.929	0.260	0.342
8.0	1.507	0.01192	-0.130	0.008	0.439	1.000	0.998	126.409	0.278	0.336
9.0	1.590	0.01279	-0.134	0.007	0.448	0.972	0.998	124.351	0.308	0.334
10.0	1.666	0.01403	-0.139	0.006	0.469	0.943	0.998	118.769	0.323	0.333
11.0	1.733	0.01581	-0.144	0.002	0.480	0.913	0.998	109.634	0.333	0.333
12.0	1.794	0.01733	-0.150	0.003	0.500	0.890	0.998	103.507	0.355	0.333
13.0	1.839	0.01957	-0.156	0.002	0.511	0.862	0.998	93.963	0.416	0.335
14.0	1.871	0.02242	-0.162	0.001	0.537	0.832	0.997	83.418	0.479	0.337
15.0	1.893	0.02459	-0.168	0.001	0.554	0.811	0.998	77.007	1.226	0.339
16.0	1.885	0.02917	-0.176	-0.000	0.576	0.773	0.998	64.623	-0.874	0.344
17.0	1.881	0.03184	-0.183	0.001	0.598	0.752	0.998	59.070	-0.153	0.347
18.0	1.849	0.03667	-0.191	-0.000	0.621	0.717	0.997	50.421	0.035	0.353
19.0	1.797	0.04337	-0.201	-0.000	0.649	0.673	0.998	41.430	0.080	0.362
20.0	1.736	0.05045	-0.210	-0.001	0.672	0.629	0.997	34.398	0.104	0.371
21.0	1.699	0.05270	-0.215	0.000	0.696	0.622	0.998	32.230	0.120	0.377
22.0	1.592	0.06702	-0.229	-0.001	0.719	0.541	0.997	23.756	0.128	0.394
23.0	1.510	0.07736	-0.238	-0.001	0.748	0.491	0.997	19.523	0.148	0.408
24.0	1.463	0.07889	-0.242	-0.000	0.776	0.494	0.997	18.552	0.153	0.415
25.0	1.367	0.09369	-0.252	-0.000	0.809	0.428	0.997	14.592	0.152	0.434
26.0	1.262	0.11433	-0.262	-0.001	0.852	0.334	0.997	11.036	0.167	0.457
27.0	1.180	0.13030	-0.267	-0.001	0.987	0.270	0.994	9.055	0.183	0.477
28.0	1.111	0.14283	-0.272	-0.001	0.987	0.229	0.994	7.780	0.202	0.494
29.0	1.039	0.16386	-0.274	-0.001	0.987	0.166	0.994	6.343	0.187	0.514
30.0	0.994	0.16295	-0.279	-0.000	0.987	0.190	0.994	6.099	0.142	0.531

